IID1	IID2	PI_HAT
169_CC_ORW_CHN_M	202_CC_ORW_CHN_F	0.2205
170_CC_ORW_CHN_M	173_CC_ORW_CHN_M	0.2785
170_CC_ORW_CHN_M	206_CC_ORW_CHN_F	0.3012
171_CC_ORW_CHN_M	236_CC_ORW_CHN_M	0.5759
171_CC_ORW_CHN_M	237_CC_ORW_CHN_F	0.1929
171_CC_ORW_CHN_M	238_CC_ORW_CHN_F	0.4813
171_CC_ORW_CHN_M	243_CC_ORW_CHN_F	0.5875
172_CC_ORW_CHN_M	176_CC_ORW_CHN_M	0.6017
172_CC_ORW_CHN_M	177_CC_ORW_CHN_M	0.2536
172_CC_ORW_CHN_M	197_CC_ORW_CHN_F	0.5968
172_CC_ORW_CHN_M	198_CC_ORW_CHN_F	0.2491
172_CC_ORW_CHN_M	201_CC_ORW_CHN_F	0.4759
172_CC_ORW_CHN_M	203_CC_ORW_CHN_F	0.4429
172_CC_ORW_CHN_M	237_CC_ORW_CHN_F	0.6348
172_CC_ORW_CHN_M	241_CC_ORW_CHN_M	0.5852
174_CC_ORW_CHN_M	236_CC_ORW_CHN_M	0.3748
174_CC_ORW_CHN_M	238_CC_ORW_CHN_F	0.4653
174_CC_ORW_CHN_M	239_CC_ORW_CHN_F	0.1934
174_CC_ORW_CHN_M	243_CC_ORW_CHN_F	0.3511
176_CC_ORW_CHN_M	197_CC_ORW_CHN_F	0.4194
176_CC_ORW_CHN_M	198_CC_ORW_CHN_F	0.5103
176_CC_ORW_CHN_M	201_CC_ORW_CHN_F	0.6196
176_CC_ORW_CHN_M	203_CC_ORW_CHN_F	0.2792
176_CC_ORW_CHN_M	237_CC_ORW_CHN_F	0.7621
176_CC_ORW_CHN_M	241_CC_ORW_CHN_M	0.4135
177_CC_ORW_CHN_M	197_CC_ORW_CHN_F	0.4568
177_CC_ORW_CHN_M	198_CC_ORW_CHN_F	0.2571
177_CC_ORW_CHN_M	203_CC_ORW_CHN_F	0.2701
177_CC_ORW_CHN_M	237_CC_ORW_CHN_F	0.3113
177_CC_ORW_CHN_M	241_CC_ORW_CHN_M	0.4502
