ID	Cluster
366_CO_PLW_RUS_M	CO_9
367_CO_PLW_RUS_M	CO_9
368_CO_PLW_RUS_M	CO_9
369_CO_PLW_RUS_M	CO_9
370_CO_PLW_RUS_F	CO_9
371_CO_PLW_RUS_M	CO_9
372_CO_PLW_RUS_M	CO_9
373_CO_PLW_RUS_M	CO_9
374_CO_PLW_RUS_M	CO_10
375_CC_PLW_RUS_F	CC_16
376_CO_PLW_RUS_F	CO_10
377_CO_PLW_RUS_M	CO_10
379_CO_PLW_RUS_F	CO_10
380_CO_PLW_RUS_F	CO_10
381_CO_PLW_RUS_F	CO_10
382_CO_PLW_RUS_F	CO_10
383_CO_PLW_RUS_M	CO_10
384_CO_PLW_RUS_M	CO_10
385_CO_PLW_RUS_M	CO_10
388_CO_SCC_RUS_M	CO_4
389_CC_ACW_RUS_F	CC_19
390_CO_SCC_RUS_M	CO_4
392_CC_UNK_RUS_M	CC_20
393_CC_UNK_RUS_F	CC_21
394_CC_UNK_RUS_M	CC_11
395_CC_UNK_RUS_M	CC_11
396_CC_UNK_RUS_M	CC_4
397_CC_UNK_RUS_M	CC_4
398_CC_UNK_RUS_M	CC_4
399_CC_UNK_RUS_M	CC_4
400_CO_SCC_RUS_F	CO_11
401_CO_SCC_RUS_F	CO_11
402_CO_PLW_RUS_F	CO_10
403_CO_PLW_RUS_F	CO_9
404_CO_YBW_RUS_F	CO_8
405_CO_ACW_RUS_F	CO_2
406_CO_ACW_RUS_M	CO_2
408_CC_TBW_RUS_F	CC_14
410_CC_GRW_HUN_F	CC_4
411_CC_GRW_HUN_F	CC_4
412_CC_GRW_HUN_F	CC_4
413_CC_GRW_HUN_F	CC_4
414_CC_GRW_HUN_F	CC_4
415_CC_GRW_HUN_F	CC_4
416_CC_GRW_HUN_F	CC_4
417_CC_GRW_HUN_F	CC_4
418_CC_GRW_HUN_F	CC_4
419_CC_GRW_HUN_F	CC_4
420_CC_GRW_HUN_F	CC_4
421_CC_GRW_HUN_F	CC_4
422_CC_GRW_HUN_F	CC_4
423_CC_GRW_HUN_F	CC_4
424_CC_GRW_HUN_F	CC_4
426_CC_GRW_HUN_F	CC_4
427_CC_GRW_HUN_F	CC_4
428_CC_GRW_HUN_F	CC_4
429_CC_GRW_HUN_F	CC_4
430_CC_GRW_HUN_F	CC_4
431_CC_UNK_EST_F	CC_4
432_CC_UNK_IRA_F	CC_22
433_CC_UNK_CHN_F	CC_23
434_CC_UNK_UKR_F	CC_4
435_CC_UNK_UKR_F	CC_4
436_CC_UNK_ROM_F	CC_4
437_CC_UNK_MAC_F	CC_4
438_CC_UNK_RUS_F	CC_4
439_CC_UNK_RUS_F	CC_4
440_CC_UNK_RUS_F	CC_4
441_CC_UNK_RUS_F	CC_4
442_CC_UNK_RUS_F	CC_4
443_CC_UNK_RUS_F	CC_4
444_CC_UNK_MON_F	CC_4
445_CC_UNK_TOG_F	CC_24
